periodo,valor,unidade
1997-T1,782228696.0,Quilogramas
1997-T2,827133992.0,Quilogramas
1997-T3,850132635.0,Quilogramas
1997-T4,875393725.0,Quilogramas
1998-T1,824382260.0,Quilogramas
1998-T2,850319609.0,Quilogramas
1998-T3,841313084.0,Quilogramas
1998-T4,881882926.0,Quilogramas
1999-T1,876324044.0,Quilogramas
1999-T2,962131826.0,Quilogramas
1999-T3,977026802.0,Quilogramas
1999-T4,991261661.0,Quilogramas
2000-T1,921654137.0,Quilogramas
2000-T2,978570306.0,Quilogramas
2000-T3,993133866.0,Quilogramas
2000-T4,1006441300.0,Quilogramas
2001-T1,1000849560.0,Quilogramas
2001-T2,1065481476.0,Quilogramas
2001-T3,1131651977.0,Quilogramas
2001-T4,1132294683.0,Quilogramas
2002-T1,1080842120.0,Quilogramas
2002-T2,1148230030.0,Quilogramas
2002-T3,1190212228.0,Quilogramas
2002-T4,1280328576.0,Quilogramas
2003-T1,1227757971.0,Quilogramas
2003-T2,1188161035.0,Quilogramas
2003-T3,1211607635.0,Quilogramas
2003-T4,1349686525.0,Quilogramas
2004-T1,1360265258.0,Quilogramas
2004-T2,1468135617.0,Quilogramas
2004-T3,1575357569.0,Quilogramas
2004-T4,1502453837.0,Quilogramas
2005-T1,1452665372.0,Quilogramas
2005-T2,1665504466.0,Quilogramas
2005-T3,1685226868.0,Quilogramas
2005-T4,1542414499.0,Quilogramas
2006-T1,1585206190.0,Quilogramas
2006-T2,1701655149.0,Quilogramas
2006-T3,1815627611.0,Quilogramas
2006-T4,1784094170.0,Quilogramas
2007-T1,1815324781.0,Quilogramas
2007-T2,1772367418.0,Quilogramas
2007-T3,1767999272.0,Quilogramas
2007-T4,1693303187.0,Quilogramas
2008-T1,1631838236.0,Quilogramas
2008-T2,1749407991.0,Quilogramas
2008-T3,1672868817.0,Quilogramas
2008-T4,1567259417.0,Quilogramas
2009-T1,1516827210.0,Quilogramas
2009-T2,1626490312.0,Quilogramas
2009-T3,1727478611.0,Quilogramas
2009-T4,1790836563.0,Quilogramas
2010-T1,1692768223.0,Quilogramas
2010-T2,1827822405.0,Quilogramas
2010-T3,1772808046.0,Quilogramas
2010-T4,1684085694.0,Quilogramas
2011-T1,1641819763.0,Quilogramas
2011-T2,1649671594.0,Quilogramas
2011-T3,1742937064.0,Quilogramas
2011-T4,1749108525.0,Quilogramas
2012-T1,1681336019.0,Quilogramas
2012-T2,1801259020.0,Quilogramas
2012-T3,1918040722.0,Quilogramas
2012-T4,1950511416.0,Quilogramas
2013-T1,1897242050.0,Quilogramas
2013-T2,2008043072.0,Quilogramas
2013-T3,2123654691.0,Quilogramas
2013-T4,2137780394.0,Quilogramas
2014-T1,1952430785.0,Quilogramas
2014-T2,2011493075.0,Quilogramas
2014-T3,2040402870.0,Quilogramas
2014-T4,2058898089.0,Quilogramas
2015-T1,1837935944.0,Quilogramas
2015-T2,1847443418.0,Quilogramas
2015-T3,1879018575.0,Quilogramas
2015-T4,1929037420.0,Quilogramas
2016-T1,1801222499.0,Quilogramas
2016-T2,1878297539.0,Quilogramas
2016-T3,1829142091.0,Quilogramas
2016-T4,1850115566.0,Quilogramas
2017-T1,1796564506.0,Quilogramas
2017-T2,1832185134.0,Quilogramas
2017-T3,2019808382.0,Quilogramas
2017-T4,2032979683.0,Quilogramas
2018-T1,1892512091.0,Quilogramas
2018-T2,1908072206.0,Quilogramas
2018-T3,2115653757.0,Quilogramas
2018-T4,2073277577.0,Quilogramas
2019-T1,1950324390.0,Quilogramas
2019-T2,1977662002.0,Quilogramas
2019-T3,2197488180.0,Quilogramas
2019-T4,2093376654.0,Quilogramas
2020-T1,1857227340.0,Quilogramas
2020-T2,1906767702.0,Quilogramas
2020-T3,2074151538.0,Quilogramas
2020-T4,1986741722.0,Quilogramas
2021-T1,1731900258.0,Quilogramas
2021-T2,1887228796.0,Quilogramas
2021-T3,1911647975.0,Quilogramas
2021-T4,1925484112.0,Quilogramas
2022-T1,1849443215.0,Quilogramas
2022-T2,1958428411.0,Quilogramas
2022-T3,2164840416.0,Quilogramas
2022-T4,2039607755.0,Quilogramas
2023-T1,1933161308.0,Quilogramas
2023-T2,2199801124.0,Quilogramas
2023-T3,2396437844.0,Quilogramas
2023-T4,2433022677.0,Quilogramas
2024-T1,2431474280.0,Quilogramas
2024-T2,2607580348.0,Quilogramas
2024-T3,2784340993.0,Quilogramas
2024-T4,2532547559.0,Quilogramas
2025-T1,2507462502.0,Quilogramas
2025-T2,2678247937.0,Quilogramas
2025-T3,2980054814.0,Quilogramas
2025-T4,2937449898.0,Quilogramas
2026-T1,2634899004.0,Quilogramas
