periodo,valor,unidade
1997-T1,859853089.0,Quilogramas
1997-T2,867003479.0,Quilogramas
1997-T3,926331791.0,Quilogramas
1997-T4,972151812.0,Quilogramas
1998-T1,880739407.0,Quilogramas
1998-T2,931106052.0,Quilogramas
1998-T3,1001351318.0,Quilogramas
1998-T4,1036557883.0,Quilogramas
1999-T1,1011602288.0,Quilogramas
1999-T2,1067322920.0,Quilogramas
1999-T3,1118986971.0,Quilogramas
1999-T4,1124217017.0,Quilogramas
2000-T1,1146297528.0,Quilogramas
2000-T2,1152145919.0,Quilogramas
2000-T3,1146102391.0,Quilogramas
2000-T4,1168714313.0,Quilogramas
2001-T1,1195728823.0,Quilogramas
2001-T2,1235880426.0,Quilogramas
2001-T3,1271602900.0,Quilogramas
2001-T4,1314230240.0,Quilogramas
2002-T1,1301818520.0,Quilogramas
2002-T2,1385630073.0,Quilogramas
2002-T3,1405796529.0,Quilogramas
2002-T4,1348630929.0,Quilogramas
2003-T1,1330107585.0,Quilogramas
2003-T2,1362389571.0,Quilogramas
2003-T3,1421140946.0,Quilogramas
2003-T4,1461324894.0,Quilogramas
2004-T1,1500827036.0,Quilogramas
2004-T2,1571631741.0,Quilogramas
2004-T3,1597908294.0,Quilogramas
2004-T4,1629306368.0,Quilogramas
2005-T1,1609414048.0,Quilogramas
2005-T2,1737779492.0,Quilogramas
2005-T3,1808573261.0,Quilogramas
2005-T4,1820678825.0,Quilogramas
2006-T1,1870450098.0,Quilogramas
2006-T2,1681227515.0,Quilogramas
2006-T3,1864365785.0,Quilogramas
2006-T4,1835364916.0,Quilogramas
2007-T1,1890389911.0,Quilogramas
2007-T2,1968997715.0,Quilogramas
2007-T3,1997988798.0,Quilogramas
2007-T4,2142441900.0,Quilogramas
2008-T1,2216843338.0,Quilogramas
2008-T2,2274672521.0,Quilogramas
2008-T3,2311281141.0,Quilogramas
2008-T4,2297769639.0,Quilogramas
2009-T1,2079895667.0,Quilogramas
2009-T2,2188147277.0,Quilogramas
2009-T3,2318370520.0,Quilogramas
2009-T4,2229826976.0,Quilogramas
2010-T1,2234613244.0,Quilogramas
2010-T2,2330343775.0,Quilogramas
2010-T3,2409432354.0,Quilogramas
2010-T4,2349802161.0,Quilogramas
2011-T1,2402947489.0,Quilogramas
2011-T2,2491159603.0,Quilogramas
2011-T3,2533229043.0,Quilogramas
2011-T4,2478205887.0,Quilogramas
2012-T1,2510037540.0,Quilogramas
2012-T2,2467794110.0,Quilogramas
2012-T3,2538219687.0,Quilogramas
2012-T4,2373604028.0,Quilogramas
2013-T1,2378050355.0,Quilogramas
2013-T2,2626274115.0,Quilogramas
2013-T3,2632619863.0,Quilogramas
2013-T4,2587813103.0,Quilogramas
2014-T1,2603236746.0,Quilogramas
2014-T2,2570436529.0,Quilogramas
2014-T3,2711389973.0,Quilogramas
2014-T4,2686934123.0,Quilogramas
2015-T1,2678430030.0,Quilogramas
2015-T2,2767002966.0,Quilogramas
2015-T3,2899221228.0,Quilogramas
2015-T4,2864831365.0,Quilogramas
2016-T1,2822048032.0,Quilogramas
2016-T2,2905416360.0,Quilogramas
2016-T3,2850106016.0,Quilogramas
2016-T4,2723726799.0,Quilogramas
2017-T1,2905404506.0,Quilogramas
2017-T2,2871779099.0,Quilogramas
2017-T3,2965861045.0,Quilogramas
2017-T4,2860060442.0,Quilogramas
2018-T1,2944999883.0,Quilogramas
2018-T2,2844313048.0,Quilogramas
2018-T3,2877154375.0,Quilogramas
2018-T4,2850739625.0,Quilogramas
2019-T1,2867185839.0,Quilogramas
2019-T2,2890297869.0,Quilogramas
2019-T3,2973397724.0,Quilogramas
2019-T4,2930149766.0,Quilogramas
2020-T1,3027006703.0,Quilogramas
2020-T2,2832564372.0,Quilogramas
2020-T3,3026696609.0,Quilogramas
2020-T4,3105626589.0,Quilogramas
2021-T1,3178501424.0,Quilogramas
2021-T2,3127177423.0,Quilogramas
2021-T3,3148512730.0,Quilogramas
2021-T4,3175438601.0,Quilogramas
2022-T1,3219967161.0,Quilogramas
2022-T2,3128352359.0,Quilogramas
2022-T3,3201600035.0,Quilogramas
2022-T4,3325484453.0,Quilogramas
2023-T1,3455317069.0,Quilogramas
2023-T2,3360900784.0,Quilogramas
2023-T3,3314098475.0,Quilogramas
2023-T4,3191546982.0,Quilogramas
2024-T1,3386521317.0,Quilogramas
2024-T2,3460596565.0,Quilogramas
2024-T3,3488655050.0,Quilogramas
2024-T4,3378928762.0,Quilogramas
2025-T1,3492399355.0,Quilogramas
2025-T2,3558452775.0,Quilogramas
2025-T3,3598165273.0,Quilogramas
2025-T4,3655244093.0,Quilogramas
2026-T1,3734265325.0,Quilogramas
