periodo,valor,unidade
1997-T1,235679648.0,Quilogramas
1997-T2,252469246.0,Quilogramas
1997-T3,257172467.0,Quilogramas
1997-T4,265037500.0,Quilogramas
1998-T1,266502030.0,Quilogramas
1998-T2,279145212.0,Quilogramas
1998-T3,290256826.0,Quilogramas
1998-T4,283234442.0,Quilogramas
1999-T1,287032087.0,Quilogramas
1999-T2,308474601.0,Quilogramas
1999-T3,319904062.0,Quilogramas
1999-T4,322051791.0,Quilogramas
2000-T1,308513193.0,Quilogramas
2000-T2,333840902.0,Quilogramas
2000-T3,353010533.0,Quilogramas
2000-T4,349008401.0,Quilogramas
2001-T1,358306450.0,Quilogramas
2001-T2,392965160.0,Quilogramas
2001-T3,411159068.0,Quilogramas
2001-T4,422790587.0,Quilogramas
2002-T1,421365405.0,Quilogramas
2002-T2,467761993.0,Quilogramas
2002-T3,507037600.0,Quilogramas
2002-T4,482298394.0,Quilogramas
2003-T1,467887221.0,Quilogramas
2003-T2,475133809.0,Quilogramas
2003-T3,486573668.0,Quilogramas
2003-T4,487898652.0,Quilogramas
2004-T1,457931162.0,Quilogramas
2004-T2,467759888.0,Quilogramas
2004-T3,477538929.0,Quilogramas
2004-T4,464457018.0,Quilogramas
2005-T1,486231554.0,Quilogramas
2005-T2,545456065.0,Quilogramas
2005-T3,574606725.0,Quilogramas
2005-T4,550223261.0,Quilogramas
2006-T1,529932820.0,Quilogramas
2006-T2,557006803.0,Quilogramas
2006-T3,613173043.0,Quilogramas
2006-T4,598129260.0,Quilogramas
2007-T1,604382651.0,Quilogramas
2007-T2,619983754.0,Quilogramas
2007-T3,635329845.0,Quilogramas
2007-T4,620254924.0,Quilogramas
2008-T1,613559535.0,Quilogramas
2008-T2,663430625.0,Quilogramas
2008-T3,670861687.0,Quilogramas
2008-T4,687695869.0,Quilogramas
2009-T1,697213933.0,Quilogramas
2009-T2,731323858.0,Quilogramas
2009-T3,770466105.0,Quilogramas
2009-T4,731018137.0,Quilogramas
2010-T1,725053516.0,Quilogramas
2010-T2,767787370.0,Quilogramas
2010-T3,799133324.0,Quilogramas
2010-T4,786439881.0,Quilogramas
2011-T1,794779818.0,Quilogramas
2011-T2,824505596.0,Quilogramas
2011-T3,876790615.0,Quilogramas
2011-T4,873539778.0,Quilogramas
2012-T1,751508899.0,Quilogramas
2012-T2,791417626.0,Quilogramas
2012-T3,817144992.0,Quilogramas
2012-T4,789654464.0,Quilogramas
2013-T1,751441403.0,Quilogramas
2013-T2,797627059.0,Quilogramas
2013-T3,810773314.0,Quilogramas
2013-T4,757245429.0,Quilogramas
2014-T1,757083111.0,Quilogramas
2014-T2,799223978.0,Quilogramas
2014-T3,833866913.0,Quilogramas
2014-T4,802744308.0,Quilogramas
2015-T1,794844458.0,Quilogramas
2015-T2,860726137.0,Quilogramas
2015-T3,897156080.0,Quilogramas
2015-T4,878007312.0,Quilogramas
2016-T1,890644961.0,Quilogramas
2016-T2,932996180.0,Quilogramas
2016-T3,949162949.0,Quilogramas
2016-T4,938431263.0,Quilogramas
2017-T1,900320269.0,Quilogramas
2017-T2,951012916.0,Quilogramas
2017-T3,987822374.0,Quilogramas
2017-T4,985526800.0,Quilogramas
2018-T1,955095660.0,Quilogramas
2018-T2,975216444.0,Quilogramas
2018-T3,1039666858.0,Quilogramas
2018-T4,980779612.0,Quilogramas
2019-T1,990439629.0,Quilogramas
2019-T2,1017467952.0,Quilogramas
2019-T3,1057542992.0,Quilogramas
2019-T4,1060277038.0,Quilogramas
2020-T1,1072373409.0,Quilogramas
2020-T2,1110898184.0,Quilogramas
2020-T3,1172647547.0,Quilogramas
2020-T4,1126128395.0,Quilogramas
2021-T1,1165713417.0,Quilogramas
2021-T2,1226692721.0,Quilogramas
2021-T3,1278201999.0,Quilogramas
2021-T4,1228358985.0,Quilogramas
2022-T1,1251890746.0,Quilogramas
2022-T2,1317500392.0,Quilogramas
2022-T3,1340310420.0,Quilogramas
2022-T4,1276601309.0,Quilogramas
2023-T1,1292250454.0,Quilogramas
2023-T2,1330636925.0,Quilogramas
2023-T3,1375914279.0,Quilogramas
2023-T4,1299764573.0,Quilogramas
2024-T1,1292415556.0,Quilogramas
2024-T2,1337084718.0,Quilogramas
2024-T3,1402997899.0,Quilogramas
2024-T4,1326399025.0,Quilogramas
2025-T1,1333112447.0,Quilogramas
2025-T2,1421668491.0,Quilogramas
2025-T3,1490124045.0,Quilogramas
2025-T4,1411496088.0,Quilogramas
2026-T1,1425537059.0,Quilogramas
