periodo,valor,unidade
1997-01,273308519.0,Quilogramas
1997-02,250776583.0,Quilogramas
1997-03,258143594.0,Quilogramas
1997-04,281557166.0,Quilogramas
1997-05,276015840.0,Quilogramas
1997-06,269560986.0,Quilogramas
1997-07,279181064.0,Quilogramas
1997-08,281403260.0,Quilogramas
1997-09,289548311.0,Quilogramas
1997-10,295879207.0,Quilogramas
1997-11,270652939.0,Quilogramas
1997-12,308861579.0,Quilogramas
1998-01,275806965.0,Quilogramas
1998-02,255780010.0,Quilogramas
1998-03,292795285.0,Quilogramas
1998-04,278966923.0,Quilogramas
1998-05,287127434.0,Quilogramas
1998-06,284225252.0,Quilogramas
1998-07,291813472.0,Quilogramas
1998-08,275616771.0,Quilogramas
1998-09,273882841.0,Quilogramas
1998-10,288779477.0,Quilogramas
1998-11,276426215.0,Quilogramas
1998-12,316677234.0,Quilogramas
1999-01,278734429.0,Quilogramas
1999-02,279601628.0,Quilogramas
1999-03,317987987.0,Quilogramas
1999-04,305651089.0,Quilogramas
1999-05,325028417.0,Quilogramas
1999-06,331452320.0,Quilogramas
1999-07,330339377.0,Quilogramas
1999-08,339122399.0,Quilogramas
1999-09,307565026.0,Quilogramas
1999-10,320221826.0,Quilogramas
1999-11,314822959.0,Quilogramas
1999-12,356216876.0,Quilogramas
2000-01,295312854.0,Quilogramas
2000-02,306114527.0,Quilogramas
2000-03,320226756.0,Quilogramas
2000-04,297345221.0,Quilogramas
2000-05,348000895.0,Quilogramas
2000-06,333224190.0,Quilogramas
2000-07,327728611.0,Quilogramas
2000-08,348745495.0,Quilogramas
2000-09,316659760.0,Quilogramas
2000-10,331140483.0,Quilogramas
2000-11,330390460.0,Quilogramas
2000-12,344910357.0,Quilogramas
2001-01,338875584.0,Quilogramas
2001-02,295346136.0,Quilogramas
2001-03,366627840.0,Quilogramas
2001-04,331767889.0,Quilogramas
2001-05,376185276.0,Quilogramas
2001-06,357528311.0,Quilogramas
2001-07,364728996.0,Quilogramas
2001-08,408721034.0,Quilogramas
2001-09,358201947.0,Quilogramas
2001-10,391037852.0,Quilogramas
2001-11,362177559.0,Quilogramas
2001-12,379079272.0,Quilogramas
2002-01,379088126.0,Quilogramas
2002-02,349874609.0,Quilogramas
2002-03,351879385.0,Quilogramas
2002-04,367462124.0,Quilogramas
2002-05,397082257.0,Quilogramas
2002-06,383685649.0,Quilogramas
2002-07,401399372.0,Quilogramas
2002-08,398997694.0,Quilogramas
2002-09,389815162.0,Quilogramas
2002-10,426871014.0,Quilogramas
2002-11,424465697.0,Quilogramas
2002-12,428991865.0,Quilogramas
2003-01,417292415.0,Quilogramas
2003-02,398106622.0,Quilogramas
2003-03,412358934.0,Quilogramas
2003-04,389789987.0,Quilogramas
2003-05,415191733.0,Quilogramas
2003-06,383179315.0,Quilogramas
2003-07,399398722.0,Quilogramas
2003-08,393277746.0,Quilogramas
2003-09,418931167.0,Quilogramas
2003-10,460613611.0,Quilogramas
2003-11,420256747.0,Quilogramas
2003-12,468816167.0,Quilogramas
2004-01,453976177.0,Quilogramas
2004-02,416806427.0,Quilogramas
2004-03,489482654.0,Quilogramas
2004-04,462987085.0,Quilogramas
2004-05,492531303.0,Quilogramas
2004-06,512617229.0,Quilogramas
2004-07,521960346.0,Quilogramas
2004-08,533977897.0,Quilogramas
2004-09,519419326.0,Quilogramas
2004-10,485000288.0,Quilogramas
2004-11,501577409.0,Quilogramas
2004-12,515876140.0,Quilogramas
2005-01,490636256.0,Quilogramas
2005-02,453248274.0,Quilogramas
2005-03,508780842.0,Quilogramas
2005-04,543723092.0,Quilogramas
2005-05,547416445.0,Quilogramas
2005-06,574364929.0,Quilogramas
2005-07,570022842.0,Quilogramas
