periodo,valor,unidade
1997-01,303700432.0,Quilogramas
1997-02,272859224.0,Quilogramas
1997-03,283293433.0,Quilogramas
1997-04,292490291.0,Quilogramas
1997-05,284487934.0,Quilogramas
1997-06,290025254.0,Quilogramas
1997-07,314568506.0,Quilogramas
1997-08,300340282.0,Quilogramas
1997-09,311423003.0,Quilogramas
1997-10,339605375.0,Quilogramas
1997-11,302985772.0,Quilogramas
1997-12,329560665.0,Quilogramas
1998-01,304215396.0,Quilogramas
1998-02,270583888.0,Quilogramas
1998-03,305940123.0,Quilogramas
1998-04,303788380.0,Quilogramas
1998-05,310604712.0,Quilogramas
1998-06,316712960.0,Quilogramas
1998-07,339516634.0,Quilogramas
1998-08,323603684.0,Quilogramas
1998-09,338231000.0,Quilogramas
1998-10,353683355.0,Quilogramas
1998-11,337424928.0,Quilogramas
1998-12,345449600.0,Quilogramas
1999-01,329642674.0,Quilogramas
1999-02,314450517.0,Quilogramas
1999-03,367509097.0,Quilogramas
1999-04,344022719.0,Quilogramas
1999-05,362853004.0,Quilogramas
1999-06,360447197.0,Quilogramas
1999-07,365651784.0,Quilogramas
1999-08,388550173.0,Quilogramas
1999-09,364785014.0,Quilogramas
1999-10,372581363.0,Quilogramas
1999-11,370167805.0,Quilogramas
1999-12,381467849.0,Quilogramas
2000-01,365999205.0,Quilogramas
2000-02,372955130.0,Quilogramas
2000-03,407343193.0,Quilogramas
2000-04,364813070.0,Quilogramas
2000-05,411034009.0,Quilogramas
2000-06,376298840.0,Quilogramas
2000-07,376232118.0,Quilogramas
2000-08,404140419.0,Quilogramas
2000-09,365729854.0,Quilogramas
2000-10,391378633.0,Quilogramas
2000-11,389319463.0,Quilogramas
2000-12,388016217.0,Quilogramas
2001-01,407879772.0,Quilogramas
2001-02,362697030.0,Quilogramas
2001-03,425152021.0,Quilogramas
2001-04,387133535.0,Quilogramas
2001-05,446013080.0,Quilogramas
2001-06,402733811.0,Quilogramas
2001-07,422766661.0,Quilogramas
2001-08,445867263.0,Quilogramas
2001-09,402968976.0,Quilogramas
2001-10,466097736.0,Quilogramas
2001-11,434644244.0,Quilogramas
2001-12,413488260.0,Quilogramas
2002-01,467398240.0,Quilogramas
2002-02,412302778.0,Quilogramas
2002-03,422117502.0,Quilogramas
2002-04,476322415.0,Quilogramas
2002-05,464900663.0,Quilogramas
2002-06,444406995.0,Quilogramas
2002-07,491035604.0,Quilogramas
2002-08,472768776.0,Quilogramas
2002-09,441992149.0,Quilogramas
2002-10,480399956.0,Quilogramas
2002-11,434613397.0,Quilogramas
2002-12,433617576.0,Quilogramas
2003-01,466958896.0,Quilogramas
2003-02,423023070.0,Quilogramas
2003-03,440125619.0,Quilogramas
2003-04,441130356.0,Quilogramas
2003-05,475910525.0,Quilogramas
2003-06,445348690.0,Quilogramas
2003-07,490744600.0,Quilogramas
2003-08,461112857.0,Quilogramas
2003-09,469283489.0,Quilogramas
2003-10,507055494.0,Quilogramas
2003-11,469052706.0,Quilogramas
2003-12,485216694.0,Quilogramas
2004-01,497230299.0,Quilogramas
2004-02,461241839.0,Quilogramas
2004-03,542354898.0,Quilogramas
2004-04,514450591.0,Quilogramas
2004-05,530536659.0,Quilogramas
2004-06,526644491.0,Quilogramas
2004-07,542609856.0,Quilogramas
2004-08,532930804.0,Quilogramas
2004-09,522367634.0,Quilogramas
2004-10,545160447.0,Quilogramas
2004-11,531716974.0,Quilogramas
2004-12,552428947.0,Quilogramas
2005-01,541734123.0,Quilogramas
2005-02,504315737.0,Quilogramas
2005-03,563364188.0,Quilogramas
2005-04,555418730.0,Quilogramas
2005-05,582886579.0,Quilogramas
2005-06,599474183.0,Quilogramas
2005-07,586904697.0,Quilogramas
2005-08,623281768.0,Quilogramas
2005-09,598386796.0,Quilogramas
2005-10,593003495.0,Quilogramas
2005-11,606036505.0,Quilogramas
2005-12,621638825.0,Quilogramas
2006-01,638885539.0,Quilogramas
2006-02,575512958.0,Quilogramas
2006-03,656051601.0,Quilogramas
2006-04,517535671.0,Quilogramas
2006-05,589289359.0,Quilogramas
2006-06,574402485.0,Quilogramas
2006-07,611203916.0,Quilogramas
2006-08,650917945.0,Quilogramas
2006-09,602243924.0,Quilogramas
2006-10,620226785.0,Quilogramas
2006-11,609335404.0,Quilogramas
2006-12,605802727.0,Quilogramas
2007-01,656482036.0,Quilogramas
2007-02,574652441.0,Quilogramas
2007-03,659255434.0,Quilogramas
2007-04,612136520.0,Quilogramas
2007-05,702316054.0,Quilogramas
2007-06,654545141.0,Quilogramas
2007-07,668719737.0,Quilogramas
2007-08,697118292.0,Quilogramas
2007-09,632150769.0,Quilogramas
2007-10,745360591.0,Quilogramas
2007-11,720821007.0,Quilogramas
2007-12,676260302.0,Quilogramas
2008-01,780011058.0,Quilogramas
2008-02,716495108.0,Quilogramas
2008-03,720337172.0,Quilogramas
2008-04,768343437.0,Quilogramas
2008-05,755195508.0,Quilogramas
2008-06,751133576.0,Quilogramas
2008-07,812004192.0,Quilogramas
2008-08,733618254.0,Quilogramas
2008-09,765658695.0,Quilogramas
2008-10,812975794.0,Quilogramas
2008-11,744578213.0,Quilogramas
2008-12,740215632.0,Quilogramas
2009-01,712664614.0,Quilogramas
2009-02,644470494.0,Quilogramas
2009-03,722760559.0,Quilogramas
2009-04,709316671.0,Quilogramas
2009-05,734123756.0,Quilogramas
2009-06,744706850.0,Quilogramas
2009-07,787596347.0,Quilogramas
2009-08,756201441.0,Quilogramas
2009-09,774572732.0,Quilogramas
2009-10,781589758.0,Quilogramas
2009-11,716720180.0,Quilogramas
2009-12,731517038.0,Quilogramas
2010-01,716718980.0,Quilogramas
2010-02,694808118.0,Quilogramas
2010-03,823086146.0,Quilogramas
2010-04,762813586.0,Quilogramas
2010-05,783591786.0,Quilogramas
2010-06,783938403.0,Quilogramas
2010-07,829784265.0,Quilogramas
2010-08,805130171.0,Quilogramas
2010-09,774517918.0,Quilogramas
2010-10,780190695.0,Quilogramas
2010-11,778685860.0,Quilogramas
2010-12,790925606.0,Quilogramas
2011-01,795036365.0,Quilogramas
2011-02,759526269.0,Quilogramas
2011-03,848384855.0,Quilogramas
2011-04,776241448.0,Quilogramas
2011-05,873715226.0,Quilogramas
2011-06,841202929.0,Quilogramas
2011-07,844506803.0,Quilogramas
2011-08,863651617.0,Quilogramas
2011-09,825070623.0,Quilogramas
2011-10,810330762.0,Quilogramas
2011-11,821255537.0,Quilogramas
2011-12,846619588.0,Quilogramas
2012-01,847930356.0,Quilogramas
2012-02,787013697.0,Quilogramas
2012-03,875093487.0,Quilogramas
