periodo,valor,unidade
1997-01,85022243.0,Quilogramas
1997-02,73878315.0,Quilogramas
1997-03,76779090.0,Quilogramas
1997-04,83318676.0,Quilogramas
1997-05,81826530.0,Quilogramas
1997-06,87324040.0,Quilogramas
1997-07,88591198.0,Quilogramas
1997-08,81350664.0,Quilogramas
1997-09,87230605.0,Quilogramas
1997-10,92078290.0,Quilogramas
1997-11,83225021.0,Quilogramas
1997-12,89734189.0,Quilogramas
1998-01,89963981.0,Quilogramas
1998-02,83147228.0,Quilogramas
1998-03,93390821.0,Quilogramas
1998-04,88000814.0,Quilogramas
1998-05,94550724.0,Quilogramas
1998-06,96593674.0,Quilogramas
1998-07,101122301.0,Quilogramas
1998-08,93754331.0,Quilogramas
1998-09,95380194.0,Quilogramas
1998-10,97077902.0,Quilogramas
1998-11,93452009.0,Quilogramas
1998-12,92704531.0,Quilogramas
1999-01,94574217.0,Quilogramas
1999-02,88773684.0,Quilogramas
1999-03,103684186.0,Quilogramas
1999-04,95810775.0,Quilogramas
1999-05,106410853.0,Quilogramas
1999-06,106252973.0,Quilogramas
1999-07,100633868.0,Quilogramas
1999-08,113279414.0,Quilogramas
1999-09,105990780.0,Quilogramas
1999-10,104040592.0,Quilogramas
1999-11,105134088.0,Quilogramas
1999-12,112877111.0,Quilogramas
2000-01,97505789.0,Quilogramas
2000-02,100378171.0,Quilogramas
2000-03,110629233.0,Quilogramas
2000-04,99288437.0,Quilogramas
2000-05,119553071.0,Quilogramas
2000-06,114999394.0,Quilogramas
2000-07,118554010.0,Quilogramas
2000-08,121853557.0,Quilogramas
2000-09,112602966.0,Quilogramas
2000-10,117652894.0,Quilogramas
2000-11,116673371.0,Quilogramas
2000-12,114682136.0,Quilogramas
2001-01,120608064.0,Quilogramas
2001-02,110502053.0,Quilogramas
2001-03,127196333.0,Quilogramas
2001-04,124340939.0,Quilogramas
2001-05,140191751.0,Quilogramas
2001-06,128432470.0,Quilogramas
2001-07,137715326.0,Quilogramas
2001-08,143286841.0,Quilogramas
2001-09,130156901.0,Quilogramas
2001-10,150195692.0,Quilogramas
2001-11,138361014.0,Quilogramas
2001-12,134233881.0,Quilogramas
2002-01,145912501.0,Quilogramas
2002-02,135166622.0,Quilogramas
2002-03,140286282.0,Quilogramas
2002-04,157419582.0,Quilogramas
2002-05,157005228.0,Quilogramas
2002-06,153337183.0,Quilogramas
2002-07,172168692.0,Quilogramas
2002-08,171155228.0,Quilogramas
2002-09,163713680.0,Quilogramas
2002-10,170987313.0,Quilogramas
2002-11,158513443.0,Quilogramas
2002-12,152797638.0,Quilogramas
2003-01,161860411.0,Quilogramas
2003-02,153395105.0,Quilogramas
2003-03,152631705.0,Quilogramas
2003-04,153049881.0,Quilogramas
2003-05,161972843.0,Quilogramas
2003-06,160111085.0,Quilogramas
2003-07,173686366.0,Quilogramas
2003-08,157194193.0,Quilogramas
2003-09,155693109.0,Quilogramas
2003-10,180820367.0,Quilogramas
2003-11,153711219.0,Quilogramas
2003-12,153367066.0,Quilogramas
2004-01,151213258.0,Quilogramas
2004-02,143509825.0,Quilogramas
2004-03,163208079.0,Quilogramas
2004-04,151101894.0,Quilogramas
2004-05,159729929.0,Quilogramas
2004-06,156928065.0,Quilogramas
2004-07,163358339.0,Quilogramas
2004-08,159356591.0,Quilogramas
2004-09,154823999.0,Quilogramas
2004-10,150343731.0,Quilogramas
2004-11,153383996.0,Quilogramas
2004-12,160729291.0,Quilogramas
2005-01,157235605.0,Quilogramas
2005-02,154953552.0,Quilogramas
2005-03,174042397.0,Quilogramas
2005-04,170916074.0,Quilogramas
2005-05,184789921.0,Quilogramas
2005-06,189750070.0,Quilogramas
2005-07,188469713.0,Quilogramas
2005-08,195715952.0,Quilogramas
2005-09,190421060.0,Quilogramas
2005-10,186436458.0,Quilogramas
2005-11,182671460.0,Quilogramas
2005-12,181115343.0,Quilogramas
2006-01,177159623.0,Quilogramas
2006-02,165823537.0,Quilogramas
2006-03,186949660.0,Quilogramas
2006-04,158204547.0,Quilogramas
2006-05,202806338.0,Quilogramas
2006-06,195995918.0,Quilogramas
2006-07,209348688.0,Quilogramas
2006-08,210007457.0,Quilogramas
2006-09,193816898.0,Quilogramas
2006-10,205241345.0,Quilogramas
2006-11,197458469.0,Quilogramas
2006-12,195429446.0,Quilogramas
2007-01,206670117.0,Quilogramas
2007-02,186960652.0,Quilogramas
2007-03,210751882.0,Quilogramas
2007-04,192696049.0,Quilogramas
2007-05,219637973.0,Quilogramas
2007-06,207649732.0,Quilogramas
2007-07,215463744.0,Quilogramas
2007-08,222316898.0,Quilogramas
