periodo,valor,unidade
1997-01,958143.0,Mil litros
1997-02,825195.0,Mil litros
1997-03,863303.0,Mil litros
1997-04,801042.0,Mil litros
1997-05,809520.0,Mil litros
1997-06,789274.0,Mil litros
1997-07,880115.0,Mil litros
1997-08,874358.0,Mil litros
1997-09,857648.0,Mil litros
1997-10,982929.0,Mil litros
1997-11,997625.0,Mil litros
1997-12,1047135.0,Mil litros
1998-01,1030320.0,Mil litros
1998-02,881126.0,Mil litros
1998-03,905385.0,Mil litros
1998-04,820389.0,Mil litros
1998-05,832587.0,Mil litros
1998-06,825582.0,Mil litros
1998-07,869001.0,Mil litros
1998-08,916544.0,Mil litros
1998-09,924670.0,Mil litros
1998-10,969400.0,Mil litros
1998-11,994168.0,Mil litros
1998-12,1026201.0,Mil litros
1999-01,1028956.0,Mil litros
1999-02,893282.0,Mil litros
1999-03,940534.0,Mil litros
1999-04,874812.0,Mil litros
1999-05,879829.0,Mil litros
1999-06,847894.0,Mil litros
1999-07,909289.0,Mil litros
1999-08,922787.0,Mil litros
1999-09,898468.0,Mil litros
1999-10,937587.0,Mil litros
1999-11,967998.0,Mil litros
1999-12,1044455.0,Mil litros
2000-01,1083710.0,Mil litros
2000-02,1001475.0,Mil litros
2000-03,988188.0,Mil litros
2000-04,899857.0,Mil litros
2000-05,901861.0,Mil litros
2000-06,861098.0,Mil litros
2000-07,918272.0,Mil litros
2000-08,968794.0,Mil litros
2000-09,1024031.0,Mil litros
2000-10,1123015.0,Mil litros
2000-11,1132015.0,Mil litros
2000-12,1205425.0,Mil litros
2001-01,1193273.0,Mil litros
2001-02,1008055.0,Mil litros
2001-03,1060519.0,Mil litros
2001-04,1004622.0,Mil litros
2001-05,1014858.0,Mil litros
2001-06,1049435.0,Mil litros
2001-07,1107755.0,Mil litros
2001-08,1117504.0,Mil litros
2001-09,1102850.0,Mil litros
2001-10,1169042.0,Mil litros
2001-11,1176927.0,Mil litros
2001-12,1207605.0,Mil litros
2002-01,1195537.0,Mil litros
2002-02,1047697.0,Mil litros
2002-03,1078325.0,Mil litros
2002-04,1060111.0,Mil litros
2002-05,1062933.0,Mil litros
2002-06,1039034.0,Mil litros
2002-07,1064133.0,Mil litros
2002-08,1100059.0,Mil litros
2002-09,1058893.0,Mil litros
2002-10,1117072.0,Mil litros
2002-11,1146884.0,Mil litros
2002-12,1248252.0,Mil litros
2003-01,1276754.0,Mil litros
2003-02,1098493.0,Mil litros
2003-03,1136218.0,Mil litros
2003-04,1056408.0,Mil litros
2003-05,1048079.0,Mil litros
2003-06,1035420.0,Mil litros
2003-07,1077477.0,Mil litros
2003-08,1098979.0,Mil litros
2003-09,1078375.0,Mil litros
2003-10,1171317.0,Mil litros
2003-11,1218405.0,Mil litros
2003-12,1331280.0,Mil litros
2004-01,1294395.0,Mil litros
2004-02,1165889.0,Mil litros
2004-03,1158893.0,Mil litros
2004-04,1070500.0,Mil litros
2004-05,1111198.0,Mil litros
2004-06,1100833.0,Mil litros
2004-07,1183449.0,Mil litros
2004-08,1184458.0,Mil litros
2004-09,1181685.0,Mil litros
2004-10,1246531.0,Mil litros
2004-11,1344961.0,Mil litros
2004-12,1452353.0,Mil litros
2005-01,1441119.0,Mil litros
2005-02,1251747.0,Mil litros
2005-03,1282442.0,Mil litros
2005-04,1264465.0,Mil litros
2005-05,1297820.0,Mil litros
2005-06,1313843.0,Mil litros
2005-07,1359863.0,Mil litros
2005-08,1364519.0,Mil litros
2005-09,1335573.0,Mil litros
2005-10,1435104.0,Mil litros
2005-11,1447064.0,Mil litros
2005-12,1490708.0,Mil litros
2006-01,1494249.0,Mil litros
2006-02,1306920.0,Mil litros
2006-03,1403013.0,Mil litros
2006-04,1320398.0,Mil litros
2006-05,1310132.0,Mil litros
2006-06,1267235.0,Mil litros
2006-07,1320071.0,Mil litros
2006-08,1333617.0,Mil litros
2006-09,1298577.0,Mil litros
2006-10,1475437.0,Mil litros
2006-11,1525372.0,Mil litros
2006-12,1614721.0,Mil litros
2007-01,1629549.0,Mil litros
2007-02,1405073.0,Mil litros
2007-03,1444693.0,Mil litros
2007-04,1333077.0,Mil litros
2007-05,1359253.0,Mil litros
2007-06,1324948.0,Mil litros
2007-07,1434022.0,Mil litros
2007-08,1488964.0,Mil litros
2007-09,1519011.0,Mil litros
2007-10,1591830.0,Mil litros
2007-11,1605511.0,Mil litros
2007-12,1752712.0,Mil litros
2008-01,1767810.0,Mil litros
2008-02,1604373.0,Mil litros
2008-03,1611925.0,Mil litros
