periodo,valor,unidade
1987-01,98136.0,Mil dúzias
1987-02,91805.0,Mil dúzias
1987-03,98916.0,Mil dúzias
1987-04,97778.0,Mil dúzias
1987-05,97940.0,Mil dúzias
1987-06,96716.0,Mil dúzias
1987-07,100996.0,Mil dúzias
1987-08,100621.0,Mil dúzias
1987-09,99494.0,Mil dúzias
1987-10,101213.0,Mil dúzias
1987-11,96762.0,Mil dúzias
1987-12,96252.0,Mil dúzias
1988-01,98530.0,Mil dúzias
1988-02,94966.0,Mil dúzias
1988-03,102016.0,Mil dúzias
1988-04,101266.0,Mil dúzias
1988-05,104458.0,Mil dúzias
1988-06,101634.0,Mil dúzias
1988-07,101765.0,Mil dúzias
1988-08,103120.0,Mil dúzias
1988-09,100857.0,Mil dúzias
1988-10,102349.0,Mil dúzias
1988-11,101134.0,Mil dúzias
1988-12,100952.0,Mil dúzias
1989-01,98191.0,Mil dúzias
1989-02,92070.0,Mil dúzias
1989-03,100521.0,Mil dúzias
1989-04,99336.0,Mil dúzias
1989-05,103325.0,Mil dúzias
1989-06,101133.0,Mil dúzias
1989-07,103439.0,Mil dúzias
1989-08,105456.0,Mil dúzias
1989-09,103082.0,Mil dúzias
1989-10,105786.0,Mil dúzias
1989-11,104677.0,Mil dúzias
1989-12,106993.0,Mil dúzias
1990-01,100853.0,Mil dúzias
1990-02,93759.0,Mil dúzias
1990-03,101971.0,Mil dúzias
1990-04,101849.0,Mil dúzias
1990-05,105441.0,Mil dúzias
1990-06,103639.0,Mil dúzias
1990-07,105669.0,Mil dúzias
1990-08,107246.0,Mil dúzias
1990-09,104938.0,Mil dúzias
1990-10,108387.0,Mil dúzias
1990-11,104282.0,Mil dúzias
1990-12,103195.0,Mil dúzias
1991-01,107102.0,Mil dúzias
1991-02,100921.0,Mil dúzias
1991-03,110811.0,Mil dúzias
1991-04,109815.0,Mil dúzias
1991-05,111869.0,Mil dúzias
1991-06,109829.0,Mil dúzias
1991-07,113009.0,Mil dúzias
1991-08,113976.0,Mil dúzias
1991-09,112004.0,Mil dúzias
1991-10,113162.0,Mil dúzias
1991-11,108953.0,Mil dúzias
1991-12,110610.0,Mil dúzias
1992-01,109620.0,Mil dúzias
1992-02,105046.0,Mil dúzias
1992-03,113166.0,Mil dúzias
1992-04,111331.0,Mil dúzias
1992-05,114749.0,Mil dúzias
1992-06,113585.0,Mil dúzias
1992-07,118969.0,Mil dúzias
1992-08,118865.0,Mil dúzias
1992-09,115294.0,Mil dúzias
1992-10,115356.0,Mil dúzias
1992-11,112489.0,Mil dúzias
1992-12,115219.0,Mil dúzias
1993-01,112901.0,Mil dúzias
1993-02,107318.0,Mil dúzias
1993-03,116919.0,Mil dúzias
1993-04,114954.0,Mil dúzias
1993-05,116666.0,Mil dúzias
1993-06,115237.0,Mil dúzias
1993-07,116272.0,Mil dúzias
1993-08,117347.0,Mil dúzias
1993-09,115496.0,Mil dúzias
1993-10,116671.0,Mil dúzias
1993-11,114532.0,Mil dúzias
1993-12,116874.0,Mil dúzias
1994-01,116285.0,Mil dúzias
1994-02,109340.0,Mil dúzias
1994-03,120819.0,Mil dúzias
1994-04,117530.0,Mil dúzias
1994-05,120716.0,Mil dúzias
1994-06,119713.0,Mil dúzias
1994-07,121576.0,Mil dúzias
1994-08,120736.0,Mil dúzias
1994-09,118965.0,Mil dúzias
1994-10,123728.0,Mil dúzias
1994-11,122242.0,Mil dúzias
1994-12,128108.0,Mil dúzias
1995-01,128119.0,Mil dúzias
1995-02,116699.0,Mil dúzias
1995-03,128097.0,Mil dúzias
1995-04,126092.0,Mil dúzias
1995-05,129654.0,Mil dúzias
1995-06,128902.0,Mil dúzias
1995-07,129288.0,Mil dúzias
1995-08,128059.0,Mil dúzias
1995-09,125182.0,Mil dúzias
1995-10,128921.0,Mil dúzias
1995-11,126440.0,Mil dúzias
1995-12,125616.0,Mil dúzias
1996-01,118598.0,Mil dúzias
1996-02,114793.0,Mil dúzias
1996-03,121751.0,Mil dúzias
1996-04,124540.0,Mil dúzias
1996-05,125989.0,Mil dúzias
1996-06,123794.0,Mil dúzias
1996-07,127343.0,Mil dúzias
1996-08,127146.0,Mil dúzias
1996-09,123640.0,Mil dúzias
1996-10,124795.0,Mil dúzias
1996-11,123552.0,Mil dúzias
1996-12,124576.0,Mil dúzias
1997-01,125598.0,Mil dúzias
1997-02,117771.0,Mil dúzias
1997-03,127017.0,Mil dúzias
1997-04,125980.0,Mil dúzias
1997-05,126953.0,Mil dúzias
1997-06,124686.0,Mil dúzias
1997-07,130604.0,Mil dúzias
1997-08,130614.0,Mil dúzias
1997-09,127650.0,Mil dúzias
1997-10,127673.0,Mil dúzias
1997-11,123824.0,Mil dúzias
1997-12,127837.0,Mil dúzias
1998-01,129202.0,Mil dúzias
1998-02,121050.0,Mil dúzias
1998-03,131919.0,Mil dúzias
1998-04,131364.0,Mil dúzias
1998-05,133909.0,Mil dúzias
1998-06,131032.0,Mil dúzias
1998-07,134069.0,Mil dúzias
1998-08,135025.0,Mil dúzias
1998-09,131711.0,Mil dúzias
1998-10,127590.0,Mil dúzias
1998-11,125625.0,Mil dúzias
1998-12,128566.0,Mil dúzias
1999-01,129996.0,Mil dúzias
1999-02,122337.0,Mil dúzias
1999-03,134820.0,Mil dúzias
1999-04,130851.0,Mil dúzias
1999-05,135303.0,Mil dúzias
1999-06,133112.0,Mil dúzias
1999-07,134422.0,Mil dúzias
1999-08,133417.0,Mil dúzias
1999-09,130528.0,Mil dúzias
1999-10,132376.0,Mil dúzias
1999-11,129252.0,Mil dúzias
1999-12,131859.0,Mil dúzias
2000-01,138585.0,Mil dúzias
2000-02,132347.0,Mil dúzias
2000-03,141658.0,Mil dúzias
2000-04,138153.0,Mil dúzias
2000-05,140695.0,Mil dúzias
2000-06,137692.0,Mil dúzias
