periodo,valor,unidade
1997-T1,2646641.0,Mil litros
1997-T2,2399837.0,Mil litros
1997-T3,2612122.0,Mil litros
1997-T4,3027689.0,Mil litros
1998-T1,2816832.0,Mil litros
1998-T2,2478558.0,Mil litros
1998-T3,2710214.0,Mil litros
1998-T4,2989769.0,Mil litros
1999-T1,2862772.0,Mil litros
1999-T2,2602534.0,Mil litros
1999-T3,2730545.0,Mil litros
1999-T4,2950039.0,Mil litros
2000-T1,3073373.0,Mil litros
2000-T2,2662817.0,Mil litros
2000-T3,2911096.0,Mil litros
2000-T4,3460455.0,Mil litros
2001-T1,3261847.0,Mil litros
2001-T2,3068916.0,Mil litros
2001-T3,3328108.0,Mil litros
2001-T4,3553574.0,Mil litros
2002-T1,3321559.0,Mil litros
2002-T2,3162078.0,Mil litros
2002-T3,3223084.0,Mil litros
2002-T4,3512208.0,Mil litros
2003-T1,3511465.0,Mil litros
2003-T2,3139907.0,Mil litros
2003-T3,3254832.0,Mil litros
2003-T4,3721002.0,Mil litros
2004-T1,3619177.0,Mil litros
2004-T2,3282531.0,Mil litros
2004-T3,3549593.0,Mil litros
2004-T4,4043845.0,Mil litros
2005-T1,3975309.0,Mil litros
2005-T2,3876128.0,Mil litros
2005-T3,4059955.0,Mil litros
2005-T4,4372876.0,Mil litros
2006-T1,4204182.0,Mil litros
2006-T2,3897765.0,Mil litros
2006-T3,3952266.0,Mil litros
2006-T4,4615530.0,Mil litros
2007-T1,4479315.0,Mil litros
2007-T2,4017278.0,Mil litros
2007-T3,4441998.0,Mil litros
2007-T4,4950053.0,Mil litros
2008-T1,4984108.0,Mil litros
2008-T2,4695428.0,Mil litros
2008-T3,4676591.0,Mil litros
2008-T4,4928950.0,Mil litros
2009-T1,4932670.0,Mil litros
2009-T2,4294679.0,Mil litros
2009-T3,4895602.0,Mil litros
2009-T4,5478704.0,Mil litros
2010-T1,5269802.0,Mil litros
2010-T2,4907249.0,Mil litros
2010-T3,5193884.0,Mil litros
2010-T4,5604568.0,Mil litros
2011-T1,5487952.0,Mil litros
2011-T2,5057842.0,Mil litros
2011-T3,5338313.0,Mil litros
2011-T4,5910893.0,Mil litros
2012-T1,5766904.0,Mil litros
2012-T2,5237953.0,Mil litros
2012-T3,5531162.0,Mil litros
2012-T4,5802314.0,Mil litros
2013-T1,5680710.0,Mil litros
2013-T2,5337705.0,Mil litros
2013-T3,5990936.0,Mil litros
2013-T4,6543479.0,Mil litros
2014-T1,6188957.0,Mil litros
2014-T2,5797474.0,Mil litros
2014-T3,6227237.0,Mil litros
2014-T4,6533370.0,Mil litros
2015-T1,6135395.0,Mil litros
2015-T2,5645460.0,Mil litros
2015-T3,5990688.0,Mil litros
2015-T4,6290765.0,Mil litros
2016-T1,5861377.0,Mil litros
2016-T2,5219521.0,Mil litros
2016-T3,5848661.0,Mil litros
2016-T4,6240095.0,Mil litros
2017-T1,5861576.0,Mil litros
2017-T2,5647942.0,Mil litros
2017-T3,6279291.0,Mil litros
2017-T4,6544702.0,Mil litros
2018-T1,6019432.0,Mil litros
2018-T2,5478583.0,Mil litros
2018-T3,6256214.0,Mil litros
2018-T4,6703635.0,Mil litros
2019-T1,6195154.0,Mil litros
2019-T2,5860992.0,Mil litros
2019-T3,6283741.0,Mil litros
2019-T4,6671938.0,Mil litros
2020-T1,6447161.0,Mil litros
2020-T2,5874522.0,Mil litros
2020-T3,6516870.0,Mil litros
2020-T4,6802709.0,Mil litros
2021-T1,6576168.0,Mil litros
2021-T2,5839306.0,Mil litros
2021-T3,6206647.0,Mil litros
2021-T4,6499677.0,Mil litros
2022-T1,5954427.0,Mil litros
2022-T2,5499132.0,Mil litros
2022-T3,6148420.0,Mil litros
2022-T4,6316242.0,Mil litros
2023-T1,6006785.0,Mil litros
2023-T2,5789617.0,Mil litros
2023-T3,6318682.0,Mil litros
2023-T4,6490516.0,Mil litros
2024-T1,6280522.0,Mil litros
2024-T2,5943220.0,Mil litros
2024-T3,6358355.0,Mil litros
2024-T4,6783999.0,Mil litros
2025-T1,6608360.0,Mil litros
2025-T2,6549388.0,Mil litros
2025-T3,7087761.0,Mil litros
2025-T4,7367508.0,Mil litros
2026-T1,6780958.0,Mil litros
