periodo,valor,unidade
1987-T1,288856.0,Mil dúzias
1987-T2,292435.0,Mil dúzias
1987-T3,301112.0,Mil dúzias
1987-T4,294227.0,Mil dúzias
1988-T1,295512.0,Mil dúzias
1988-T2,307358.0,Mil dúzias
1988-T3,305742.0,Mil dúzias
1988-T4,304435.0,Mil dúzias
1989-T1,290781.0,Mil dúzias
1989-T2,303794.0,Mil dúzias
1989-T3,311976.0,Mil dúzias
1989-T4,317456.0,Mil dúzias
1990-T1,296583.0,Mil dúzias
1990-T2,310928.0,Mil dúzias
1990-T3,317853.0,Mil dúzias
1990-T4,315864.0,Mil dúzias
1991-T1,318834.0,Mil dúzias
1991-T2,331513.0,Mil dúzias
1991-T3,338989.0,Mil dúzias
1991-T4,332725.0,Mil dúzias
1992-T1,327831.0,Mil dúzias
1992-T2,339666.0,Mil dúzias
1992-T3,353127.0,Mil dúzias
1992-T4,343064.0,Mil dúzias
1993-T1,337138.0,Mil dúzias
1993-T2,346857.0,Mil dúzias
1993-T3,349115.0,Mil dúzias
1993-T4,348077.0,Mil dúzias
1994-T1,346444.0,Mil dúzias
1994-T2,357960.0,Mil dúzias
1994-T3,361277.0,Mil dúzias
1994-T4,374078.0,Mil dúzias
1995-T1,372915.0,Mil dúzias
1995-T2,384648.0,Mil dúzias
1995-T3,382530.0,Mil dúzias
1995-T4,380976.0,Mil dúzias
1996-T1,355143.0,Mil dúzias
1996-T2,374322.0,Mil dúzias
1996-T3,378129.0,Mil dúzias
1996-T4,372923.0,Mil dúzias
1997-T1,370386.0,Mil dúzias
1997-T2,377619.0,Mil dúzias
1997-T3,388869.0,Mil dúzias
1997-T4,379334.0,Mil dúzias
1998-T1,382171.0,Mil dúzias
1998-T2,396306.0,Mil dúzias
1998-T3,400805.0,Mil dúzias
1998-T4,381781.0,Mil dúzias
1999-T1,387153.0,Mil dúzias
1999-T2,399267.0,Mil dúzias
1999-T3,398367.0,Mil dúzias
1999-T4,393487.0,Mil dúzias
2000-T1,412589.0,Mil dúzias
2000-T2,416540.0,Mil dúzias
2000-T3,418379.0,Mil dúzias
2000-T4,415205.0,Mil dúzias
2001-T1,402829.0,Mil dúzias
2001-T2,429211.0,Mil dúzias
2001-T3,441890.0,Mil dúzias
2001-T4,440659.0,Mil dúzias
2002-T1,448294.0,Mil dúzias
2002-T2,453256.0,Mil dúzias
2002-T3,454255.0,Mil dúzias
2002-T4,437860.0,Mil dúzias
2003-T1,440951.0,Mil dúzias
2003-T2,457278.0,Mil dúzias
2003-T3,466091.0,Mil dúzias
2003-T4,465451.0,Mil dúzias
2004-T1,467346.0,Mil dúzias
2004-T2,478017.0,Mil dúzias
2004-T3,488983.0,Mil dúzias
2004-T4,488001.0,Mil dúzias
2005-T1,484402.0,Mil dúzias
2005-T2,499723.0,Mil dúzias
